survey_id,question_id,image_id,dataset,filename,type,disease_token
4,138,55,DRIVE,001771-median-iternet-drive.png,segmap,normal
4,138,19,originals,001771.png,original,normal
4,139,55,DRIVE,001771-median-iternet-drive.png,segmap,normal
4,139,58,DRIVE,001771-median-unet-drive.png,segmap,normal
4,139,19,originals,001771.png,original,normal
4,140,21,DRIVE,001771-median-vgan-drive.png,segmap,normal
4,140,46,DRIVE,001771-median-saunet-drive.png,segmap,normal
4,140,19,originals,001771.png,original,normal
4,141,20,DRIVE,001771-median-iternet_uni-drive.png,segmap,normal
4,141,27,DRIVE,001771-median-vesselunet-drive.png,segmap,normal
4,141,19,originals,001771.png,original,normal
4,142,21,DRIVE,001771-median-vgan-drive.png,segmap,normal
4,142,25,DRIVE,001771-median-laddernet-drive.png,segmap,normal
4,142,19,originals,001771.png,original,normal
4,143,43,DRIVE,001771-median-eswanet-drive.png,segmap,normal
4,143,58,DRIVE,001771-median-unet-drive.png,segmap,normal
4,143,19,originals,001771.png,original,normal
4,144,20,DRIVE,001771-median-iternet_uni-drive.png,segmap,normal
4,144,21,DRIVE,001771-median-vgan-drive.png,segmap,normal
4,144,19,originals,001771.png,original,normal
4,145,20,DRIVE,001771-median-iternet_uni-drive.png,segmap,normal
4,145,25,DRIVE,001771-median-laddernet-drive.png,segmap,normal
4,145,19,originals,001771.png,original,normal
4,146,21,DRIVE,001771-median-vgan-drive.png,segmap,normal
4,146,27,DRIVE,001771-median-vesselunet-drive.png,segmap,normal
4,146,19,originals,001771.png,original,normal
4,147,20,DRIVE,001771-median-iternet_uni-drive.png,segmap,normal
4,147,43,DRIVE,001771-median-eswanet-drive.png,segmap,normal
4,147,19,originals,001771.png,original,normal
4,148,46,DRIVE,001771-median-saunet-drive.png,segmap,normal
4,148,55,DRIVE,001771-median-iternet-drive.png,segmap,normal
4,148,19,originals,001771.png,original,normal
4,149,20,DRIVE,001771-median-iternet_uni-drive.png,segmap,normal
4,149,25,DRIVE,001771-median-laddernet-drive.png,segmap,normal
4,149,19,originals,001771.png,original,normal
4,150,21,DRIVE,001771-median-vgan-drive.png,segmap,normal
4,150,46,DRIVE,001771-median-saunet-drive.png,segmap,normal
4,150,19,originals,001771.png,original,normal
4,151,20,DRIVE,001771-median-iternet_uni-drive.png,segmap,normal
4,151,46,DRIVE,001771-median-saunet-drive.png,segmap,normal
4,151,19,originals,001771.png,original,normal
4,152,21,DRIVE,001771-median-vgan-drive.png,segmap,normal
4,152,43,DRIVE,001771-median-eswanet-drive.png,segmap,normal
4,152,19,originals,001771.png,original,normal
4,153,25,DRIVE,001771-median-laddernet-drive.png,segmap,normal
4,153,58,DRIVE,001771-median-unet-drive.png,segmap,normal
4,153,19,originals,001771.png,original,normal
4,154,46,DRIVE,001771-median-saunet-drive.png,segmap,normal
4,154,58,DRIVE,001771-median-unet-drive.png,segmap,normal
4,154,19,originals,001771.png,original,normal
4,155,21,DRIVE,001771-median-vgan-drive.png,segmap,normal
4,155,58,DRIVE,001771-median-unet-drive.png,segmap,normal
4,155,19,originals,001771.png,original,normal
4,156,25,DRIVE,001771-median-laddernet-drive.png,segmap,normal
4,156,27,DRIVE,001771-median-vesselunet-drive.png,segmap,normal
4,156,19,originals,001771.png,original,normal
4,157,20,DRIVE,001771-median-iternet_uni-drive.png,segmap,normal
4,157,55,DRIVE,001771-median-iternet-drive.png,segmap,normal
4,157,19,originals,001771.png,original,normal
4,158,20,DRIVE,001771-median-iternet_uni-drive.png,segmap,normal
4,158,27,DRIVE,001771-median-vesselunet-drive.png,segmap,normal
4,158,19,originals,001771.png,original,normal
